500	0	3850
1000	0	8680
1500	0	13945
2000	0	19363
2500	0	25059
3000	0	30899
3500	0	36759
4000	0	42809
4500	0	48918
5000	0	55155
5500	0	61353
6000	1	67765
6500	1	74023
7000	1	80592
7500	1	87026
8000	1	93605
8500	1	100177
9000	1	106760
9500	1	113511
10000	1	120227
10500	2	126925
11000	2	133934
11500	2	140521
12000	2	147487
12500	2	154394
13000	2	161212
13500	2	168135
14000	2	175112
14500	3	181975
15000	2	188921
15500	3	195880
16000	4	202988
16500	9	209943
17000	15	217052
17500	13	224448
18000	14	231443
18500	14	238696
19000	2	245905
19500	2	253163
20000	2	260297
20500	2	267839
21000	2	274867
21500	3	282359
22000	2	289395
22500	2	296906
23000	3	303995
23500	3	311437
24000	3	318686
24500	3	325896
25000	3	333398
25500	3	340877
26000	3	348211
26500	3	355703
27000	3	363150
27500	4	370583
28000	4	378008
28500	4	385373
29000	4	392803
29500	5	400402
